school_name,official_school_website,twitter,facebook
East Carolina,https://ecupirates.com,https://twitter.com/@ECUAthletics,https://facebook.com/pages/ECUPiratescom/125022400868684?ref=search
East Central,https://ecutigers.com/,https://twitter.com/@ECUTigers,https://facebook.com/ECUTigersUpdates
East. Mennonite,https://emuroyals.com,https://twitter.com/@EMU_athletics,https://facebook.com/pages/Eastern-Mennonite-University-Athletics/113862388667948
East Stroudsburg,https://esuwarriors.com,https://twitter.com/@ESUWarriors,https://facebook.com/pages/ESU-Warriors-Athletics/76845698880?ref=hl
East Tenn. St.,https://etsubucs.com,https://twitter.com/@ETSUAthletics,https://facebook.com/ETSUAthletics
East Tex. Baptist,https://etbusports.com,https://twitter.com/@ETBUTigers,https://facebook.com/etbusports
Eastern,https://goeasterneagles.com,https://twitter.com/@EUEagles,https://facebook.com/EUEagles
Eastern Conn. St.,https://easternct.edu/athletics,https://twitter.com/@ecsuathletics,https://facebook.com/pages/Eastern-Connecticut-Athletics/135769756462077
Eastern Ill.,https://eiupanthers.com,https://twitter.com/@EIU_Panthers,https://facebook.com/EIUPanthers
Eastern Ky.,https://ekusports.com,https://twitter.com/@ekusports,https://facebook.com/ekucolonels
Eastern Mich.,https://emueagles.com,https://twitter.com/@emuathletics,https://facebook.com/emuathletics
Eastern Nazarene,https://athletics.enc.edu,https://twitter.com/@ENCAthletics,https://facebook.com/ENCAthletics
Eastern N.M.,https://goeasternathletics.com,https://twitter.com/@enmusports,https://facebook.com/goeasternathletics
Eastern Ore.,,,
Eastern Wash.,https://goeags.com,https://twitter.com/@EWUAthletics,https://facebook.com/EWUAthletics
Eckerd,https://eckerdtritons.com,https://twitter.com/@ECTritons,https://facebook.com/EckerdTritons
Edgewood,https://edgewoodcollegeeagles.com,https://twitter.com/@edgewoodeagles,https://facebook.com/edgewoodcollegeeagles
Edinboro,https://gofightingscots.com,https://twitter.com/@boroathletics,https://facebook.com/EdinboroUniversityAthletics
Edward Waters,https://https://www.ewctigerpride.com,,
Elizabeth City St.,https://ecsuvikings.com,https://twitter.com/@ECSUVikings,https://facebook.com/ElizabethCityStateUniversity
Elizabethtown,https://etownbluejays.com,https://twitter.com/@EtownBlueJays,https://facebook.com/EtownBlueJays
Elmhurst,https://elmhurstbluejays.com,https://twitter.com/@ElmhurstBluejay,https://facebook.com/elmhurstbluejays
Elmira,https://athletics.elmira.edu,https://twitter.com/@ECSoaringEagles,https://facebook.com/ElmiraCollegeAthletics
Elms,https://athletics.elms.edu,https://twitter.com/@elmsblazersWSOC,https://facebook.com/ElmsBlazers
Elon,https://elonphoenix.com,https://twitter.com/@elonphoenix,https://facebook.com/ElonPhoenix
Embry-Riddle University,https://www.erauathletics.com/,https://twitter.com/@ERAUAthletics,https://facebook.com/erauathletics
Emerson,https://emersonlions.com,https://twitter.com/@EmersonLions,https://facebook.com/pages/Emerson-College-Athletics/283633784998898
Emmanuel (Ga.),https://goeclions.com,https://twitter.com/@ATHLETICSatEC,https://facebook.com/EmmanuelAthletics
Emmanuel (Mass.),https://goecsaints.com,https://twitter.com/@ECSaints,https://facebook.com/ECsaints
Emory,https://emoryathletics.com,https://twitter.com/@EmoryAthletics,https://facebook.com/EmoryEagles
Emory & Henry,https://gowasps.com,https://twitter.com/@GoWasps,https://facebook.com/GoWasps
Emporia St.,https://esuhornets.com,https://twitter.com/@ESUSports,https://facebook.com/EmporiaStateAthletics
Endicott,https://ecgulls.com,https://twitter.com/@ECGulls,https://facebook.com/ECGulls
Erskine,https://erskinesports.com,https://twitter.com/@FollowtheFleet,https://facebook.com/pages/Erskine-College-Athletics/103933599658947?ref=ts
Eureka,https://eurekareddevils.com,https://twitter.com/@EurekaRedDevils,https://facebook.com/EurekaRedDevils
Evansville,https://gopurpleaces.com,https://twitter.com/@UEAthletics,https://facebook.com/UEPurpleAces
Fairfield,https://fairfieldstags.com,https://twitter.com/@FairfieldStags,https://facebook.com/FairfieldUAthletics
Fairleigh Dickinson,https://fduknights.com,https://twitter.com/@FDUKnights,https://facebook.com/FDUAthletics
Fairmont St.,https://fightingfalcons.com,https://twitter.com/@fsufalcons,https://facebook.com/fsufalcons
Farmingdale St.,https://farmingdalesports.com,https://twitter.com/@FarmStateRams,https://facebook.com/pages/Farmingdale-State-Rams/262225231747
