,school,ncaa_team_url,school_website_url
214,Omaha,https://stats.ncaa.org/teams/574144,http://www.omavs.com
215,UNLV,https://stats.ncaa.org/teams/574145,http://unlvrebels.com
216,Nevada,https://stats.ncaa.org/teams/574146,http://nevadawolfpack.com
217,NJIT,https://stats.ncaa.org/teams/574147,http://www.njithighlanders.com
218,New Mexico St.,https://stats.ncaa.org/teams/574148,http://www.nmstatesports.com
219,New Mexico,https://stats.ncaa.org/teams/574149,http://www.golobos.com
220,New Orleans,https://stats.ncaa.org/teams/574150,http://www.unoprivateers.com
221,Niagara,https://stats.ncaa.org/teams/574151,http://www.purpleeagles.com
222,Nicholls,https://stats.ncaa.org/teams/574152,http://www.geauxcolonels.com
223,Norfolk St.,https://stats.ncaa.org/teams/574153,http://www.nsuspartans.com
224,N.C. A&T,https://stats.ncaa.org/teams/574154,http://www.ncataggies.com
225,NC State,https://stats.ncaa.org/teams/574155,http://www.gopack.com
226,North Dakota St.,https://stats.ncaa.org/teams/574156,http://www.GoBison.com
227,ULM,https://stats.ncaa.org/teams/574157,http://www.ulmwarhawks.com
228,Northeastern,https://stats.ncaa.org/teams/574158,http://www.nuhuskies.com
229,Northern Colo.,https://stats.ncaa.org/teams/574159,http://uncbears.com
230,NIU,https://stats.ncaa.org/teams/574160,http://www.niuhuskies.com
231,Northern Ky.,https://stats.ncaa.org/teams/574161,http://www.nkunorse.com
232,Northwestern St.,https://stats.ncaa.org/teams/574162,http://www.nsudemons.com
233,Northwestern,https://stats.ncaa.org/teams/574163,http://www.nusports.com
234,Notre Dame,https://stats.ncaa.org/teams/574164,http://www.und.com
235,Oakland,https://stats.ncaa.org/teams/574165,http://goldengrizzlies.com
236,Ohio St.,https://stats.ncaa.org/teams/574166,http://ohiostatebuckeyes.com/
237,Ohio,https://stats.ncaa.org/teams/574167,http://www.ohiobobcats.com
238,Oklahoma St.,https://stats.ncaa.org/teams/574168,http://www.okstate.com
239,Oklahoma,https://stats.ncaa.org/teams/574169,http://soonersports.com
240,Old Dominion,https://stats.ncaa.org/teams/574170,http://www.odusports.com
241,Oral Roberts,https://stats.ncaa.org/teams/574171,http://www.oruathletics.com
242,Oregon St.,https://stats.ncaa.org/teams/574172,http://osubeavers.com/
243,Oregon,https://stats.ncaa.org/teams/574173,http://www.goducks.com
244,Pacific,https://stats.ncaa.org/teams/574174,http://www.pacifictigers.com
245,UTRGV,https://stats.ncaa.org/teams/574175,http://goutrgv.com
246,Penn St.,https://stats.ncaa.org/teams/574176,http://goPSUsports.com
247,Penn,https://stats.ncaa.org/teams/574177,http://www.pennathletics.com
248,Pepperdine,https://stats.ncaa.org/teams/574178,http://www.pepperdinewaves.com
249,Pittsburgh,https://stats.ncaa.org/teams/574179,http://www.pittsburghpanthers.com
250,Portland,https://stats.ncaa.org/teams/574180,http://www.portlandpilots.com
251,Prairie View,https://stats.ncaa.org/teams/574181,http://www.pvpanthers.com
252,Princeton,https://stats.ncaa.org/teams/574182,http://www.goprincetontigers.com
253,Purdue,https://stats.ncaa.org/teams/574183,http://purduesports.com
254,Quinnipiac,https://stats.ncaa.org/teams/574184,http://www.gobobcats.com
255,Radford,https://stats.ncaa.org/teams/574185,http://www.radfordathletics.com
256,Rhode Island,https://stats.ncaa.org/teams/574186,http://www.gorhody.com
257,Rice,https://stats.ncaa.org/teams/574187,http://www.riceowls.com
258,Richmond,https://stats.ncaa.org/teams/574188,http://www.richmondspiders.edu
259,Rider,https://stats.ncaa.org/teams/574189,http://www.gobroncs.com
260,Rutgers,https://stats.ncaa.org/teams/574190,http://www.scarletknights.com
